,Unnamed: 0,UserID,댓글텍스트,좋아요 수,video_ID,긍부정,선수,경기,영상
11,11,@user-dx5sf3vl4g,쫌 만 더....잘하자...,3.0,0BWScn_OWPk,긍정,부정,-,긍정
12,12,@iphone16_pro,2:46 이분 야구계 펠레 아니신가요?,3.0,0BWScn_OWPk,부정,부정,-,부정
13,13,@andreakim494,"️""신부님들 야구엔 감동이 있다.""",1.0,0BWScn_OWPk,긍정,-,긍정,-
14,14,@boramskyhan,샌디에이고 분위기 너무 좋다 이대로만가즈아!!!^^,0.0,0BWScn_OWPk,긍정,부정,부정,긍정
15,15,@sksjsjjsis,김하성의 야구엔 '응원'이 있다,3.0,0BWScn_OWPk,긍정,긍정,-,-
16,16,@woonga1,샌디에이고 요즘 야구 재미있게 하네^^,3.0,0BWScn_OWPk,긍정,긍정,긍정,-
17,17,@twilightgarden,김하성의 야구에는 안타가 없다,25.0,0BWScn_OWPk,긍정,긍정,-,-
18,18,@wang8668,두선수가 홈런 네방으로 끝내버리는군요. 타자라면 누구라도 꿈꾸는 굿바이홈런 참 멋집니다.,0.0,0BWScn_OWPk,긍정,긍정,-,-
19,19,@user-cf5cj1vx6z,2:24 캐스터 ㅋㅋㅋㅋ,0.0,0BWScn_OWPk,부정,-,-,긍정
20,20,@yoyoyo1004,선수 보강 지리네,0.0,0BWScn_OWPk,부정,긍정,-,-
21,21,@user-yd5uv1fg6t,진짜 스윙 시원하게한다,0.0,0BWScn_OWPk,긍정,긍정,-,-
22,22,@user-jm4vp1mi3x,김하성이 끝내기였으면 썸넬 제목은 ‘오늘도 터졌다 어썸킴! 샌디 승리를 견인하는 끝내기’,1.0,0BWScn_OWPk,긍정,긍정,긍정,긍정
23,23,@fastbreak33,샌디에고 가을야구 가자.,0.0,0BWScn_OWPk,긍정,-,긍정,-
24,24,@daebongjang169,샌디에이고의 야구엔 감동이 있다!,0.0,0BWScn_OWPk,긍정,긍정,긍정,-
25,25,@peterpan-complex,샌디 올해엔 가을야구 가자 제발,2.0,0BWScn_OWPk,긍정,긍정,-,-
26,26,@minisong4694,여름이라매...,1.0,0BWScn_OWPk,부정,-,-,긍정
27,27,@user-nj2ej3bm8v,샌디 포수가 수비가 너무아쉬움..오늘도 홈에서 잡을수있었는데...,2.0,0BWScn_OWPk,부정,부정,-,부정
28,28,@user-jj8lh2fk8f,제목 보니깐 무안타 무출루네. 센디에고 이틀연속 끝내기 홈런...누가 보면 김하성이 또 홈런친줄.. 교묘한 스포타임,2.0,0BWScn_OWPk,부정,긍정,긍정,부정
29,29,@user-ot9vy7dy9z,썸네일에 혼선이 있겠네요.얼핏보면 김하성이 홈런친줄,0.0,0BWScn_OWPk,부정,긍정,-,부정
30,30,@user-rb9jw9lx8v,언제꺼야?,0.0,0BWScn_OWPk,부정,-,-,부정
31,31,@hweeing001,매드 메릴 미쳤네,0.0,0BWScn_OWPk,부정,부정,-,긍정
32,32,@user-iv2iw2wr2q,"숨은 인물 찾기....김하성, 그는 어디에...",0.0,0BWScn_OWPk,부정,긍정,-,-
33,33,@user-fy7ev2rf3k,무안타 맹활약!!,1.0,0BWScn_OWPk,긍정,긍정,-,-
34,34,@user-no9jh2re9m,첫조회인가 ㅎㅎ,0.0,0BWScn_OWPk,긍정,-,-,긍정
35,35,@user-vk6qn6ou2u,메릴 진짜 재능,0.0,0BWScn_OWPk,긍정,긍정,-,-
36,36,@user-xp8pt2ms9r,끝내기홈런 짜릿하겠다.,0.0,0BWScn_OWPk,긍정,긍정,-,-
37,37,@user-iq1rd4zu7w,와우 메릴 끝내기 짜릿하네,0.0,0BWScn_OWPk,긍정,긍정,-,긍정
38,38,@gsky23-kg4tj,3:07 김하성 잠깐 나오네요...,0.0,0BWScn_OWPk,부정,긍정,-,-
39,39,@seonkyukim5935,,0.0,0BWScn_OWPk,부정,-,-,-
40,40,@MongTan1004,김하성은....... 미국에 있다.,1.0,0BWScn_OWPk,부정,긍정,-,-
41,41,@user-tp3uc1vq3d,김하성 부정확한 홈송구 때문에 한점 줬구나,1.0,0BWScn_OWPk,부정,부정,-,부정
42,42,@diamondback8383,김하성의 야구에 오늘은 보이지가 않는다,0.0,0BWScn_OWPk,부정,부정,-,-
43,43,@user-yo3gv5zz5k,김하성의 샌디에이곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,0BWScn_OWPk,부정,긍정,-,부정
44,44,@user-jc1tx1dd8t,김하성은 2할초반 수비아니면 벌써 마이너,0.0,0BWScn_OWPk,부정,부정,-,-
45,45,@JWKANG05,이야,0.0,0BWScn_OWPk,긍정,-,-,-
46,46,@yoonsikoo,2:49 김하성 나와요,0.0,0BWScn_OWPk,긍정,긍정,-,긍정
47,47,@jjinttadaeyeonhabje4jegug,세계적인팀끝내주는팀la다졌으,0.0,0BWScn_OWPk,긍정,부정,부정,-
48,48,@user-hz9xw6qe8d,김하성 타율도 끝내주네ㅠㅠ,0.0,0BWScn_OWPk,긍정,긍정,-,-
49,49,@jhyoo5447,빅트레인이 엄청난 상승세를 타게될거 같다고 말하면.. ㄷㄷㄷ 그게 아니길..,0.0,0BWScn_OWPk,부정,부정,-,부정
50,50,@momomo925,이야 밀러가 맞다니,0.0,0BWScn_OWPk,부정,긍정,-,-
51,51,@user-uy9nv5kw5s,와 메릴 미쳤네,0.0,0BWScn_OWPk,긍정,-,-,긍정
52,52,@minejkp3166,김하성이 끝내기 친줄 ㄷㄷㄷㄷ,0.0,0BWScn_OWPk,긍정,긍정,-,긍정
53,53,@jk-dm1ln,진짜 똑딱이 안타만 치네 ㅋㅋ 꾸준하질 않어..,0.0,0BWScn_OWPk,부정,부정,-,부정
54,54,@llllIIlIIllllIllIll,김하성의 샌디에이고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,0BWScn_OWPk,긍정,긍정,-,-
55,55,@user-gm4eb3di9p,잭슨메릴 ㄹㅈㄷ네 ㅋㅋㅋㅋ신인왕 확정이다 ㄹㅇ 정후야 ㅠㅠ,0.0,0BWScn_OWPk,긍정,긍정,-,-
56,56,@bart_junza,'샌디에이고의 김하성 이틀연속 끝내기 홈런' 으로 보고 들어왔네,0.0,0BWScn_OWPk,긍정,긍정,긍정,-
57,57,@Nc-bv8rb,크로넨워스프로파메릴이 저렇게 잘해주는데 보가츠마차도 먹튀2인방이 옵스8만 찍어줘도 가을야구 가겠다~,1.0,0BWScn_OWPk,긍정,긍정,-,긍정
58,58,@starman2409,하성이 무안타네 까비~,0.0,0BWScn_OWPk,긍정,긍정,-,-
59,59,@user-nw8zz9sk9p,금일은 홈런으로만 점수 얻은 샌디에이고,0.0,0BWScn_OWPk,긍정,긍정,-,-
60,60,@aphidini,김하성의 샌디에이고에는 김하성이 없다.,0.0,0BWScn_OWPk,부정,부정,-,-
61,61,@undecimbre,"물론 쉽진 않았지만, 조금만 정확했다면 타이밍 상으로는 잡을 수도 있었을 듯한 홈 송구 두 번이 김하성인 것 같음ㅇㅇ 실수했다고 비난하는 게 아니라 그냥 조금 아쉽다 정도의 얘기임 ㅇㅇ",0.0,0BWScn_OWPk,긍정,부정,부정,-
62,62,@user-su1jm4er8h,4타수 무안타 해서 제목 만들기 어려운건 알겠는데 김하성의 샌디에이고는 좀 그렇지 않나? ㅋㅋ,2.0,0BWScn_OWPk,부정,부정,-,긍정
63,63,@user-ik8de4wp5c,마지막 홈런은 딱 저 공 노리고 친거네,0.0,0BWScn_OWPk,긍정,긍정,-,-
64,64,@user-wd4hz7sc2d,김하성 타격 정말 걱정된다,1.0,0BWScn_OWPk,부정,부정,-,-
65,65,@victolee5043,킹하성타율 .222(팀 13위)홈런      9(팀   4위)안타    53(팀  7위)타점    34(팀  4위)득점   36(팀  4위)도루   14(팀  1위)볼넷   41(팀  1위)삼진   41(팀  4위),1.0,0BWScn_OWPk,부정,부정,-,-
66,66,@petermoon9447,샌디에이고 야구 존나 재미있게 하네.,0.0,0BWScn_OWPk,긍정,-,긍정,-
67,67,@user-lm5zo1lf7xy,하쏭이의 여름은 짧았다...,1.0,0BWScn_OWPk,부정,-,부정,긍정
68,68,@YOONSUNGYUL,땅하성 타석은 철저하게 안 보여주는거 보니까 오늘 안타 1개도 못 쳤나부네ㅋㅋㅋㅋㅋ,0.0,0BWScn_OWPk,부정,부정,-,부정
69,69,@percentone1325,김하성 오늘의 영양가 D등급,0.0,0BWScn_OWPk,부정,부정,-,부정
70,70,@TAeJUnJANg,김하성이 끝내기 친줄알고 오! 소리내면서 봤는데 ㅅㅂ…. 진짜 ㅋㅋㅋㅋ 제대로 낚였다 ㅋㅋㅋ,0.0,0BWScn_OWPk,부정,긍정,부정,부정
71,71,@user-yv1zb7cj2j,우리  하성킹이 잘하지  않으면  하나도  아니  기쁩니다 ㅠㅠ,3.0,0BWScn_OWPk,부정,부정,-,부정
72,72,@197One,정확하게 홈 송구를 했다면 2번 모두 아웃 시킬 수 있는  상황이었는데 이번 경기는 하성 엑스맨.,0.0,0BWScn_OWPk,부정,-,긍정,-
73,73,@user-jq8jm8xq8g,아니 가장 중요한 장면을 앞에 스포질하네,1.0,0BWScn_OWPk,부정,-,부정,부정
74,74,@user-dl6mw1wd4d,김하성 이 홈런 칫 줄 ㅎ,1.0,0BWScn_OWPk,긍정,긍정,-,-
75,75,@user-ky8ux2dk4v,타선좀 올려주면 귀신같은 4타수 무안타에 감동란이 있다.,0.0,0BWScn_OWPk,긍정,부정,-,-
76,76,@user-ry6fb1je9t,아 썸넬 글자 보고 김하성이 끝내기 한줄 ㅋㅋㅋ,0.0,0BWScn_OWPk,긍정,긍정,-,긍정
77,77,@user-vr9lj9rj5t,김하성의 야구에는 침묵이 있다,0.0,0BWScn_OWPk,부정,부정,-,부정
78,78,@user-zb1nc7px1s,담장~~~캐스터 클라스보소,0.0,0BWScn_OWPk,부정,-,-,긍정
79,79,@user-bo5ry9iw8r,진짜  메릴  물건이다  어린 친구가  ㅋㅋ,0.0,0BWScn_OWPk,긍정,긍정,-,긍정
80,80,@user-fo8rh8cp5l,메릴 내셔널리그 신인상 노려야하는데 컵스에 왜놈투수가 너무잘해서 쩝,0.0,0BWScn_OWPk,부정,긍정,부정,-
81,81,@SHorts_9004,어썸킴의 야구에는 키움리턴이있다,0.0,0BWScn_OWPk,긍정,긍정,긍정,-
82,82,@onlyone5103,캐스터분은 발성을 배우시면 좋을듯요~~ㅎ샤우팅이 힘겨운거 같아요~~~,0.0,0BWScn_OWPk,긍정,-,-,부정
83,83,@sj-ol9gy,메이슨 밀러한테 쳤을줄은 몰랐네 ㅋㅋ,0.0,0BWScn_OWPk,부정,부정,-,-
84,84,@Kingjaemi,메릴 폼 보니까 골프 많이 친듯,0.0,0BWScn_OWPk,긍정,긍정,-,부정
85,85,@MrJikim,SD  타선은 1번부터 9번까지   한방있는   대포부대다 !LA 타선처럼....LA 랑 붙을때가  젤 잼있어 ㅋㅋ,0.0,0BWScn_OWPk,긍정,긍정,긍정,-
86,86,@user-emiya_kookejja,김하성의 야구엔 편집당함이 있다,0.0,0BWScn_OWPk,부정,부정,-,-
87,87,@user-eg7fd1jr8k,샌디에이고의 김하성 아님?ㅋㅋㅋㅋㅋ김하성의 샌디에이고???,0.0,0BWScn_OWPk,부정,부정,-,부정
88,88,@investorkorea,18 김하성이 그랬다는줄,1.0,0BWScn_OWPk,부정,긍정,-,-
89,89,@johnkang2773,김하성 홈 송구 두번이나 병맛나게...해서,0.0,0BWScn_OWPk,부정,부정,-,부정
90,90,@mnb6696,하성킴 타율좀 올려야 겠더라.. 조만간 1할 될거같아,0.0,0BWScn_OWPk,긍정,부정,-,-
91,91,@user-yh6uq2bu5g,아니 언제부터 샌디에고가 김하성의 샌디에고가 된거냐 ㅋㅋㅋㅋㅋㅋㅋㅋ,0.0,0BWScn_OWPk,부정,부정,-,부정
92,92,@seun603,낚였다 김하성이 쳤다는 줄 ㅠㅠ,0.0,0BWScn_OWPk,부정,부정,-,-
93,93,@user-in9en8zw7y,메릴 스윙각이 프리먼이랑 비슷하네,0.0,0BWScn_OWPk,긍정,긍정,-,-
94,94,@TAMZSAAZ,혹시 궁금하신분 계실지도 몰라서.. 김하성은 4타수 무안타입니다. 또 시작됐습니다.이러고 또 반짝하고 또 4타수 무안타 때리고 또 반복할듯,0.0,0BWScn_OWPk,부정,부정,부정,-
95,95,@user-kt5xu1sr3y,김하성이 친줄알았다,0.0,0BWScn_OWPk,긍정,긍정,-,-
96,96,@user-ew2ge2zz5u,오늘도 낚였다,0.0,0BWScn_OWPk,부정,-,부정,-
97,97,@user-gh1ol6be4g,썸네일만 봐도 오늘 한게 하나도 없다는걸 알겠다,0.0,0BWScn_OWPk,부정,-,부정,부정
98,98,@user-eu1hd2xj9n,정작 김하성은 없었다,0.0,0BWScn_OWPk,부정,부정,-,-
99,99,@minchel,썸넬이 이런식이면 하타킴 무안타 무출루임 낚이지말자,0.0,0BWScn_OWPk,부정,부정,-,부정
100,100,@user-hf5zw3yd4e,김하성은 구단주인가요?,1.0,0BWScn_OWPk,부정,-,-,부정
101,101,@user-dl2ks5vl7r,쎄레머니때 김하성보이네 그랴,0.0,0BWScn_OWPk,부정,긍정,-,부정
102,102,@close-game,느낌상 많이 지는거 같은데 승률 반반 치는 중이네,0.0,0BWScn_OWPk,부정,-,부정,긍정
103,103,@FatherSong-xq8mi,기마성,0.0,0BWScn_OWPk,부정,긍정,-,-
104,104,@user-rc4sm3fi3w,귀신같이 무안타 9번타자가 어울린다 다시내려가자,0.0,0BWScn_OWPk,부정,부정,부정,-
105,105,@user-mm9uz2tq5w,김하성은 안타를 칠것이다,0.0,0BWScn_OWPk,긍정,긍정,-,-
106,106,@user-io9wu1db8m,주인공이 김하성이 아닌게 아쉽,0.0,0BWScn_OWPk,부정,부정,-,-
107,107,@user-lc2zu3yb7p,홍철없는 홍철팀 ㄷ,0.0,0BWScn_OWPk,부정,부정,-,부정
108,108,@choe6656,김하성 홈 송구 ㅋㅋㅋㅋㅋㅋㅋ,1.0,0BWScn_OWPk,부정,긍정,-,-
109,109,@handgj,에라이 낚시도 정도가 있는거쥐..이건 넘 심했다...담부터는 오늘영상 참고하고 클릭 하겠음.. 좋은 경험 알려주셔셔 감사..,0.0,0BWScn_OWPk,부정,-,부정,긍정
110,110,@user-qq6yl1vf3z,역시 피지컬로 야구하는 사람은 못이긴다,0.0,0BWScn_OWPk,부정,부정,-,-
111,111,@idx8722,영상 시작하자마지 댓글보고 영상 바로 닫는다.,0.0,0BWScn_OWPk,부정,-,-,부정
112,112,@user-ko9hk2tt2l,아니 어떻게 스트존에서 떨어지는공을 정확히맞춰 홈런을 치지? 후루꾼가?,0.0,0BWScn_OWPk,부정,긍정,-,부정
113,113,@satxsa,김하성의 야구에는 항상 제목 낚시가 있다.,0.0,0BWScn_OWPk,부정,긍정,-,부정
114,114,@cis9742,김하성은 8번이좋다 ,0.0,0BWScn_OWPk,긍정,긍정,-,-
115,115,@user-oo6cg6hi1q,솔라노 메릴이 다했네…,0.0,0BWScn_OWPk,부정,긍정,-,-
116,116,@user-dh6nz4oh9m,상대가 오클랜드인데 가을야구 할라면 당연히 이겨야지,0.0,0BWScn_OWPk,긍정,긍정,긍정,-
117,117,@alephhan6742,제목 낚시는 가차 없이 스팸으로 신고해주는 센스가 필요합니다. 많은 사람이 신고해야 효과가 있어요.제발 이런 낚시글로 조회수 낚으려는 사기글을 응징하는 유저가 됩시다. 신고 꼭 해주세요,0.0,0BWScn_OWPk,부정,-,부정,부정
118,118,@user-fc4nm2jv3d,한국에서 운영하는 방송의 하이라이트에 김하성이 한번도 안나오는 거 보면 오늘 겜에는 존재감 제로였단 얘기군,0.0,0BWScn_OWPk,부정,부정,-,부정
119,119,@Gabalus_elio,썸네일 낚시 오지네. 김하성이 2틀 연속 끝내기 홈런 쳤는 줄 알겠네.,0.0,0BWScn_OWPk,긍정,긍정,긍정,부정
